frozenset({'0'})	{('0',): [342, 1]}
frozenset({'7', '2', '10'})	{('7',): [350, 1], ('2',): [20, 2], ('10',): [319, 4], ('7', '2'): [7, 3], ('7', '10'): [120, 5], ('2', '10'): [5, 6], ('7', '2', '10'): [1, 7]}
frozenset({'4', '7', '10'})	{('4',): [290, 1], ('7',): [350, 2], ('10',): [319, 4], ('4', '7'): [114, 3], ('4', '10'): [96, 5], ('7', '10'): [120, 6], ('4', '7', '10'): [46, 7]}
frozenset({'7', '13', '15'})	{('7',): [350, 1], ('13',): [255, 2], ('15',): [173, 4], ('7', '13'): [99, 3], ('7', '15'): [73, 5], ('13', '15'): [50, 6], ('7', '13', '15'): [23, 7]}
frozenset({'7', '13', '18'})	{('7',): [350, 1], ('13',): [255, 2], ('18',): [285, 4], ('7', '13'): [99, 3], ('7', '18'): [114, 5], ('13', '18'): [87, 6], ('7', '13', '18'): [39, 7]}
frozenset({'7', '13', '2'})	{('7',): [350, 1], ('13',): [255, 2], ('2',): [20, 4], ('7', '13'): [99, 3], ('7', '2'): [7, 5], ('13', '2'): [7, 6], ('7', '13', '2'): [2, 7]}
frozenset({'7', '13', '4'})	{('7',): [350, 1], ('13',): [255, 2], ('4',): [290, 4], ('7', '13'): [99, 3], ('7', '4'): [114, 5], ('13', '4'): [77, 6], ('7', '13', '4'): [34, 7]}
frozenset({'7', '15', '18'})	{('7',): [350, 1], ('15',): [173, 2], ('18',): [285, 4], ('7', '15'): [73, 3], ('7', '18'): [114, 5], ('15', '18'): [51, 6], ('7', '15', '18'): [23, 7]}
frozenset({'7', '15', '2'})	{('7',): [350, 1], ('15',): [173, 2], ('2',): [20, 4], ('7', '15'): [73, 3], ('7', '2'): [7, 5], ('15', '2'): [3, 6], ('7', '15', '2'): [1, 7]}
frozenset({'7', '15', '4'})	{('7',): [350, 1], ('15',): [173, 2], ('4',): [290, 4], ('7', '15'): [73, 3], ('7', '4'): [114, 5], ('15', '4'): [55, 6], ('7', '15', '4'): [22, 7]}
frozenset({'7', '2', '18'})	{('7',): [350, 1], ('2',): [20, 2], ('18',): [285, 4], ('7', '2'): [7, 3], ('7', '18'): [114, 5], ('2', '18'): [8, 6], ('7', '2', '18'): [4, 7]}
frozenset({'4', '7', '18'})	{('4',): [290, 1], ('7',): [350, 2], ('18',): [285, 4], ('4', '7'): [114, 3], ('4', '18'): [98, 5], ('7', '18'): [114, 6], ('4', '7', '18'): [45, 7]}
frozenset({'4', '7', '2'})	{('4',): [290, 1], ('7',): [350, 2], ('2',): [20, 4], ('4', '7'): [114, 3], ('4', '2'): [5, 5], ('7', '2'): [7, 6], ('4', '7', '2'): [1, 7]}
frozenset({'8', '1', '15'})	{('8',): [569, 1], ('1',): [66, 2], ('15',): [173, 4], ('8', '1'): [50, 3], ('8', '15'): [110, 5], ('1', '15'): [10, 6], ('8', '1', '15'): [8, 7]}
frozenset({'8', '1', '16'})	{('8',): [569, 1], ('1',): [66, 2], ('16',): [136, 4], ('8', '1'): [50, 3], ('8', '16'): [79, 5], ('1', '16'): [8, 6], ('8', '1', '16'): [5, 7]}
frozenset({'8', '1', '2'})	{('8',): [569, 1], ('1',): [66, 2], ('2',): [20, 4], ('8', '1'): [50, 3], ('8', '2'): [11, 5], ('1', '2'): [1, 6], ('8', '1', '2'): [1, 7]}
frozenset({'8', '16', '15'})	{('8',): [569, 1], ('16',): [136, 2], ('15',): [173, 4], ('8', '16'): [79, 3], ('8', '15'): [110, 5], ('16', '15'): [30, 6], ('8', '16', '15'): [20, 7]}
frozenset({'8', '15', '2'})	{('8',): [569, 1], ('15',): [173, 2], ('2',): [20, 4], ('8', '15'): [110, 3], ('8', '2'): [11, 5], ('15', '2'): [3, 6], ('8', '15', '2'): [1, 7]}
frozenset({'8', '16', '2'})	{('8',): [569, 1], ('16',): [136, 2], ('2',): [20, 4], ('8', '16'): [79, 3], ('8', '2'): [11, 5], ('16', '2'): [2, 6], ('8', '16', '2'): [1, 7]}
frozenset({'9', '1', '15'})	{('9',): [539, 1], ('1',): [66, 2], ('15',): [173, 4], ('9', '1'): [37, 3], ('9', '15'): [103, 5], ('1', '15'): [10, 6], ('9', '1', '15'): [5, 7]}
frozenset({'9', '1', '16'})	{('9',): [539, 1], ('1',): [66, 2], ('16',): [136, 4], ('9', '1'): [37, 3], ('9', '16'): [85, 5], ('1', '16'): [8, 6], ('9', '1', '16'): [4, 7]}
frozenset({'9', '1', '2'})	{('9',): [539, 1], ('1',): [66, 2], ('2',): [20, 4], ('9', '1'): [37, 3], ('9', '2'): [13, 5], ('1', '2'): [1, 6], ('9', '1', '2'): [1, 7]}
frozenset({'9', '16', '15'})	{('9',): [539, 1], ('16',): [136, 2], ('15',): [173, 4], ('9', '16'): [85, 3], ('9', '15'): [103, 5], ('16', '15'): [30, 6], ('9', '16', '15'): [18, 7]}
frozenset({'9', '15', '2'})	{('9',): [539, 1], ('15',): [173, 2], ('2',): [20, 4], ('9', '15'): [103, 3], ('9', '2'): [13, 5], ('15', '2'): [3, 6], ('9', '15', '2'): [2, 7]}
frozenset({'9', '16', '2'})	{('9',): [539, 1], ('16',): [136, 2], ('2',): [20, 4], ('9', '16'): [85, 3], ('9', '2'): [13, 5], ('16', '2'): [2, 6], ('9', '16', '2'): [1, 7]}
frozenset({'0'})	{(): [979, 0.0]}
frozenset({'1'})	{(): [979, 0.0]}
frozenset({'10'})	{(): [979, 0.0]}
frozenset({'11'})	{(): [979, 0.0]}
frozenset({'12'})	{(): [979, 0.0]}
frozenset({'13'})	{(): [979, 0.0]}
frozenset({'14'})	{(): [979, 0.0]}
frozenset({'15'})	{(): [979, 0.0]}
frozenset({'16'})	{(): [979, 0.0]}
frozenset({'17'})	{(): [979, 0.0]}
frozenset({'18'})	{(): [979, 0.0]}
frozenset({'19'})	{(): [979, 0.0]}
frozenset({'2'})	{(): [979, 0.0]}
frozenset({'3'})	{(): [979, 0.0]}
frozenset({'4'})	{(): [979, 0.0]}
frozenset({'5'})	{(): [979, 0.0]}
frozenset({'6'})	{(): [979, 0.0]}
frozenset({'7'})	{(): [979, 0.0]}
frozenset({'8'})	{(): [979, 0.0]}
frozenset({'9'})	{(): [979, 0.0]}
frozenset({'0'})	{(): [0, 0.0]}
frozenset({'1'})	{(): [0, 0.0]}
frozenset({'10'})	{(): [0, 0.0]}
frozenset({'11'})	{(): [0, 0.0]}
frozenset({'12'})	{(): [0, 0.0]}
frozenset({'13'})	{(): [0, 0.0]}
frozenset({'14'})	{(): [0, 0.0]}
frozenset({'15'})	{(): [0, 0.0]}
frozenset({'16'})	{(): [0, 0.0]}
frozenset({'17'})	{(): [0, 0.0]}
frozenset({'18'})	{(): [0, 0.0]}
frozenset({'19'})	{(): [0, 0.0]}
frozenset({'2'})	{(): [0, 0.0]}
frozenset({'3'})	{(): [0, 0.0]}
frozenset({'4'})	{(): [0, 0.0]}
frozenset({'5'})	{(): [0, 0.0]}
frozenset({'6'})	{(): [0, 0.0]}
frozenset({'7'})	{(): [0, 0.0]}
frozenset({'8'})	{(): [0, 0.0]}
frozenset({'9'})	{(): [0, 0.0]}
